,Est,time,max_d,mean_d,triangles
297,0.9999,13500,4,4.0,50.0
298,0.9999,4911,4,4.0,50.0
299,0.0,29025,4,4.0,50.0
300,0.0001,9836,4,4.0,50.0
301,0.0,4314,4,4.0,50.0
302,0.9999,4443,4,4.0,50.0
303,0.0001,4602,4,4.0,50.0
304,0.0001,5157,4,4.0,50.0
305,1.0,2250,4,4.0,50.0
306,0.9999,10772,4,4.0,50.0
307,0.0001,6926,4,4.0,50.0
308,0.0001,13430,4,4.0,50.0
309,0.0001,18841,4,4.0,50.0
310,0.0001,4606,4,4.0,50.0
311,0.9999,11091,4,4.0,50.0
312,1.0,4120,4,4.0,50.0
313,1.0,2427,4,4.0,50.0
314,0.9999,3261,4,4.0,50.0
315,0.0,4334,4,4.0,50.0
316,0.0,5030,4,4.0,50.0
317,0.9999,5403,4,4.0,50.0
318,1.0,8426,4,4.0,50.0
319,0.0001,9587,4,4.0,50.0
320,1.0,13338,4,4.0,50.0
321,0.0,2580,4,4.0,50.0
322,0.9999,9475,4,4.0,50.0
323,0.0001,8042,4,4.0,50.0
324,0.9999,4131,4,4.0,50.0
325,0.9999,8155,4,4.0,50.0
326,0.9999,6530,4,4.0,50.0
327,1.0,1540,4,4.0,50.0
328,1.0,11199,4,4.0,50.0
329,0.0001,3540,4,4.0,50.0
330,1.0,7493,4,4.0,50.0
331,0.0001,2768,4,4.0,50.0
332,0.0,4966,4,4.0,50.0
333,1.0,13379,4,4.0,50.0
334,1.0,18990,4,4.0,50.0
335,0.9999,16392,4,4.0,50.0
336,0.9999,19619,4,4.0,50.0
337,0.0001,4409,4,4.0,50.0
338,0.0001,3807,4,4.0,50.0
339,0.9999,11835,4,4.0,50.0
340,0.9999,6727,4,4.0,50.0
341,0.9999,1957,4,4.0,50.0
342,0.9999,6999,4,4.0,50.0
343,1.0,12088,4,4.0,50.0
344,1.0,3326,4,4.0,50.0
345,1.0,19714,4,4.0,50.0
346,0.9999,9554,4,4.0,50.0
347,0.0001,4664,4,4.0,50.0
348,0.0,26302,4,4.0,50.0
349,0.0001,3725,4,4.0,50.0
350,0.9999,6063,4,4.0,50.0
351,0.9999,5204,4,4.0,50.0
352,0.9999,3681,4,4.0,50.0
353,0.0001,9797,4,4.0,50.0
354,0.9999,47691,4,4.0,50.0
355,0.9999,17724,4,4.0,50.0
356,0.0001,12729,4,4.0,50.0
357,0.0001,6197,4,4.0,50.0
358,0.9998,4285,4,4.0,50.0
359,0.0,7129,4,4.0,50.0
360,0.9999,11663,4,4.0,50.0
361,0.0001,2203,4,4.0,50.0
362,0.0001,6470,4,4.0,50.0
363,1.0,21908,4,4.0,50.0
364,0.0001,9642,4,4.0,50.0
365,0.0001,9336,4,4.0,50.0
366,0.9999,5251,4,4.0,50.0
367,0.0001,2581,4,4.0,50.0
368,0.0,6416,4,4.0,50.0
369,1.0,22067,4,4.0,50.0
370,0.0001,2804,4,4.0,50.0
371,0.9999,7164,4,4.0,50.0
372,1.0,7063,4,4.0,50.0
373,1.0,20384,4,4.0,50.0
374,0.0001,3051,4,4.0,50.0
375,0.0,6263,4,4.0,50.0
376,0.9999,10557,4,4.0,50.0
